CurCode;CurName;CurNameBel;CurNameEng
704;Донг;Донг;Dong
981;Лари;Лары;Lari
418;Кип;Кіп;Kip
496;Тугрик;Тугрык;Tugrik
566;Найра;Найра;Naira
604;Новый соль;Новы соль;Nuevo Sol
946;Новый лей;Новы лей;New Leu
972;Сомони;Самані;Somoni
764;Бат;Бат;Baht
710;Рэнд;Рэнд;Rand
410;Вона;Вона;Won
862;Боливар;Балівар;Bolivar Fuerte
458;Малайзийский ринггит;Малайзійскі рынгіт;Malaysian Ringgit
941;Сербский динар;Сербскі дынар;Serbian Dinar
360;Индонезийская рупия;Інданэзійская рупія;Rupiah
191;Хорватская куна;Харвацкая куна;Croatian Kuna
156;Юань Ренминби;Юань Рэнмінбі;Yuan Renminbi
484;Мексиканское песо;Мексіканскае песа;Mexican Peso
156;Китайский юань;Кітайскі юань;Yuan Renminbi
949;Турецкая лира;Турэцкая ліра;Turkish Lira
795;Манат;Манат;Manat
937;Боливар фуэрте;Балівар фуэртэ;Bolivar Fuerte
934;Новый манат;Новы манат;Manat
938;Суданский фунт;Суданскі фунт;Sudanese Pound
364;Иранский риал;Іранскі рыал;Iranian Rial
268;Грузинский купон;Грузінскі купон;Georgian coupon
422;Ливанский фунт;Ліванскі фунт;Lebanese Pound
792;Турецкая лира;Турэцкая ліра;Turkish Lira
804;Украинский карбованец;Украінскі карбаванец;Karbovanet
914;Таджикский рубль;Таджыкскі рубель;Tajik Ruble
931;Армянский драм;Армянскі драм;Armenian Dram
932;Азербайджанский манат;Азербайджанскі манат;Azerbaijanian Manat
642;Румынский лей;Румынскі лей;Leu
946;Новый румынский лей;Новы румынскі лей;New romanian Leu
934;Новый туркменский манат;Новы туркменскі манат;New Turkmenistan Manat
392;Йена;Ена;Yen
960;СДР (Специальные права заимствования);СДР (Спецыяльныя правы запазычвання);SDR (Special Drawing Rights)
937;Боливар;Балівар;Bolivar
360;Рупия;Рупія;Rupiah
807;Денар;Дэнар;Denar
682;Саудовский риял;Саудаўскі рыял;Saudi Riyal
144;Шри-ланкийская рупия;Шры-ланкійская рупія;Sri Lankan Rupee
554;Новозеландский доллар;Новазеландскі долар;New Zealand Dollar
946;Румынский лей;Румынскі лей;Romanian Leu
191;Куна;Куна;Kuna
980;Гривна;Грыўня;Hryvnia
208;Датская крона;Дацкая крона;Danish Krone
978;Евро;Еўра;Euro
985;Злотый;Злоты;Zloty
352;Исландская крона;Ісландская крона;Iceland Krona
392;Йена;Іена;Yen
498;Молдавский лей;Малдаўскі лей;Moldovan Leu
578;Норвежская крона;Нарвежская крона;Norwegian Krone
643;Российский рубль;Расійскі рубель;Russian Ruble
960;СДР (Специальные права заимствования);СДР (Спецыяльныя правы запазычвання);SDR (Special Drawing Right)
417;Сом;Сом;Som
398;Тенге;Тэнге;Tenge
949;Турецкая лира;Турэцкая ліра;Turkish Lira
364;Иранский риал;Іранскі рыал;Iranian Rial
156;Китайский юань;Кітайскі юань;Yuan Renminbi
203;Чешская крона;Чэшская крона;Czech Koruna
752;Шведская крона;Шведская крона;Swedish Krona
012;Алжирский динар;Алжырскі дынар;Algerian Dinar
